epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
55,930.125,1.56336,1.14427,1.55955,0.82798,0.76376,0.83566,0.36409,1.84051,1.16858,1.75973,0.00122141,0.00122141,0.00122141
56,946.757,1.5748,1.16578,1.56874,0.84687,0.79548,0.89409,0.41195,1.79528,1.11932,1.7554,0.00121316,0.00121316,0.00121316
57,963.428,1.51795,1.12599,1.53984,0.80882,0.82443,0.87044,0.38102,1.88162,1.15819,1.84081,0.00120491,0.00120491,0.00120491
58,980.071,1.60086,1.07131,1.58589,0.83703,0.83261,0.90343,0.38837,1.89787,1.09233,1.8794,0.00119666,0.00119666,0.00119666
59,996.733,1.57562,1.12073,1.56036,0.87597,0.78858,0.90498,0.40399,1.82585,1.11046,1.75072,0.0011884,0.0011884,0.0011884
60,1013.53,1.59042,1.15322,1.5732,0.83454,0.8019,0.89212,0.42425,1.77255,1.10496,1.71315,0.00118015,0.00118015,0.00118015
61,1030.15,1.52759,1.09269,1.54229,0.81057,0.79083,0.87736,0.37425,1.92315,1.10901,1.84375,0.0011719,0.0011719,0.0011719
62,1046.75,1.58384,1.11397,1.57994,0.82147,0.80434,0.85715,0.38898,1.86436,1.15362,1.7856,0.00116365,0.00116365,0.00116365
63,1063.39,1.57048,1.14331,1.58614,0.85574,0.83663,0.9035,0.41051,1.80699,1.12136,1.75096,0.0011554,0.0011554,0.0011554
64,1080.08,1.54968,1.12452,1.5624,0.78704,0.81801,0.87551,0.38637,1.81673,1.10304,1.77599,0.00114715,0.00114715,0.00114715
65,1096.78,1.54025,1.08835,1.56802,0.87638,0.78556,0.90234,0.421,1.79563,1.07928,1.73133,0.00113889,0.00113889,0.00113889
