epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
94,1584.47,1.31849,0.75283,1.4056,0.88464,0.87191,0.91345,0.38179,2.01111,0.94686,1.96291,0.00105308,0.00105308,0.00105308
95,1600.95,1.31578,0.81285,1.39171,0.84335,0.84452,0.86761,0.357,2.08632,0.9024,1.99813,0.00104648,0.00104648,0.00104648
96,1617.44,1.26725,0.77085,1.36957,0.86051,0.85436,0.88522,0.3816,1.98361,0.9224,1.93096,0.00103987,0.00103987,0.00103987
97,1634.07,1.26578,0.74584,1.36805,0.86245,0.84841,0.89723,0.38783,2.02576,0.9504,1.96464,0.00103327,0.00103327,0.00103327
98,1650.57,1.30452,0.7904,1.40418,0.87679,0.87017,0.89988,0.40516,1.93576,0.8992,1.91673,0.00102667,0.00102667,0.00102667
99,1667.06,1.29398,0.81836,1.40002,0.82495,0.84201,0.85298,0.36195,2.05663,1.01398,2.01622,0.00102007,0.00102007,0.00102007
100,1683.59,1.32632,0.77558,1.41373,0.89914,0.88811,0.91643,0.3843,1.99534,0.91045,1.91289,0.00101347,0.00101347,0.00101347
101,1700.11,1.31523,0.7704,1.37635,0.87562,0.85916,0.89004,0.3827,2.01576,0.93152,1.91812,0.00100687,0.00100687,0.00100687
102,1716.65,1.29141,0.7927,1.36263,0.87498,0.84206,0.89819,0.37457,2.07619,0.97057,2.02071,0.00100027,0.00100027,0.00100027
103,1733.16,1.28781,0.74883,1.37988,0.86622,0.84038,0.88519,0.38302,2.05591,0.9294,1.98417,0.000993665,0.000993665,0.000993665
104,1749.84,1.271,0.74034,1.36429,0.88358,0.87227,0.91005,0.38814,2.00875,0.87704,1.92265,0.000987064,0.000987064,0.000987064
105,1766.39,1.2108,0.71612,1.324,0.8511,0.84038,0.85849,0.36766,2.04816,0.93898,1.94564,0.000980463,0.000980463,0.000980463
106,1783.08,1.28376,0.75241,1.36262,0.86288,0.86121,0.88038,0.38368,2.0174,0.93963,1.99502,0.000973861,0.000973861,0.000973861
107,1799.67,1.25101,0.74402,1.35668,0.89915,0.87259,0.88864,0.38805,1.97092,0.94256,1.94207,0.00096726,0.00096726,0.00096726
108,1816.21,1.24754,0.73863,1.35801,0.83113,0.86493,0.87818,0.37968,2.101,0.90779,2.00776,0.000960659,0.000960659,0.000960659
109,1832.72,1.239,0.73933,1.34928,0.87896,0.87066,0.89416,0.38027,2.05582,0.87287,1.99092,0.000954057,0.000954057,0.000954057
110,1849.42,1.21686,0.75072,1.32873,0.86866,0.84038,0.88706,0.39176,1.99026,0.91723,1.92223,0.000947456,0.000947456,0.000947456
111,1865.94,1.22905,0.74784,1.32699,0.84923,0.87064,0.89818,0.38145,2.01808,0.87131,1.93248,0.000940855,0.000940855,0.000940855
112,1882.45,1.23929,0.7653,1.3388,0.8814,0.87219,0.9094,0.39899,1.99376,0.87208,1.92993,0.000934253,0.000934253,0.000934253
113,1898.96,1.22082,0.74131,1.33307,0.87391,0.83381,0.89413,0.39151,2.0243,0.86554,1.96972,0.000927652,0.000927652,0.000927652
114,1915.48,1.22457,0.75427,1.34296,0.84918,0.86371,0.89457,0.38304,1.97219,0.90769,1.91978,0.000921051,0.000921051,0.000921051
115,1932.16,1.21637,0.73831,1.33387,0.86059,0.85522,0.89034,0.39019,1.98343,0.94992,1.91754,0.00091445,0.00091445,0.00091445
116,1948.95,1.21167,0.75578,1.32358,0.8708,0.83896,0.88303,0.38188,2.01084,0.94367,1.94979,0.000907848,0.000907848,0.000907848
117,1965.45,1.22264,0.72367,1.32201,0.84555,0.83137,0.8577,0.3617,2.0492,0.91208,1.96708,0.000901247,0.000901247,0.000901247
118,1981.96,1.23571,0.72002,1.35081,0.87149,0.88662,0.9091,0.39236,2.0185,0.81721,1.93595,0.000894646,0.000894646,0.000894646
119,1998.45,1.25892,0.75027,1.35809,0.90868,0.88016,0.93472,0.39137,1.98522,0.90393,1.93815,0.000888044,0.000888044,0.000888044
120,2014.97,1.23333,0.73474,1.33611,0.86943,0.8281,0.88202,0.37343,2.09947,0.96678,1.96426,0.000881443,0.000881443,0.000881443
121,2031.43,1.18112,0.72844,1.30723,0.91604,0.90996,0.93869,0.41404,1.93641,0.77583,1.8766,0.000874842,0.000874842,0.000874842
122,2047.92,1.21578,0.73178,1.34793,0.90626,0.87803,0.92078,0.39979,1.98364,0.87254,1.97545,0.00086824,0.00086824,0.00086824
123,2064.63,1.23187,0.72207,1.33355,0.84111,0.84038,0.87796,0.37402,2.02583,0.94771,1.97474,0.000861639,0.000861639,0.000861639
124,2081.36,1.21303,0.73951,1.32813,0.8552,0.84163,0.89653,0.36994,2.05366,0.96871,1.9805,0.000855038,0.000855038,0.000855038
125,2098.04,1.17826,0.71341,1.31409,0.82951,0.86731,0.87299,0.37426,2.07311,0.9579,1.99254,0.000848436,0.000848436,0.000848436
126,2114.57,1.15641,0.70727,1.29528,0.86349,0.85472,0.89614,0.38012,2.04058,0.94757,1.99253,0.000841835,0.000841835,0.000841835
127,2131.1,1.15802,0.69564,1.3107,0.8707,0.87166,0.88493,0.3786,1.97319,0.90989,1.96363,0.000835234,0.000835234,0.000835234
128,2147.84,1.18541,0.69843,1.31447,0.86772,0.84939,0.86983,0.36867,1.99915,0.96603,2.0011,0.000828632,0.000828632,0.000828632
129,2164.4,1.19687,0.73606,1.32728,0.90353,0.86231,0.89358,0.37992,2.00662,0.93959,1.99715,0.000822031,0.000822031,0.000822031
130,2180.89,1.21503,0.73664,1.32779,0.87484,0.87362,0.90439,0.37941,2.01176,0.87799,1.94383,0.00081543,0.00081543,0.00081543
131,2197.41,1.16905,0.70632,1.30992,0.83422,0.84013,0.87099,0.36671,2.09804,0.8787,2.00046,0.000808828,0.000808828,0.000808828
132,2213.93,1.16108,0.69587,1.29668,0.88794,0.85127,0.91288,0.39323,2.05197,0.93869,2.00455,0.000802227,0.000802227,0.000802227
