epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
83,1344.41,1.31909,0.80709,1.40712,0.86311,0.87435,0.89511,0.38723,1.97096,1.01312,1.90633,0.000990365,0.000990365,0.000990365
84,1360.39,1.27657,0.7952,1.38829,0.86895,0.86683,0.90223,0.40332,1.96097,0.87406,1.89841,0.000982113,0.000982113,0.000982113
85,1376.33,1.25605,0.78465,1.37454,0.87157,0.8568,0.91776,0.40909,1.94613,0.86517,1.90738,0.000973861,0.000973861,0.000973861
86,1392.27,1.27094,0.80828,1.38608,0.88614,0.83322,0.91056,0.39795,1.96409,0.93556,1.89901,0.00096561,0.00096561,0.00096561
87,1408.21,1.28008,0.75775,1.37782,0.85361,0.86108,0.90568,0.39356,2.02471,0.88573,1.97278,0.000957358,0.000957358,0.000957358
88,1424.22,1.2507,0.75441,1.35898,0.89697,0.86575,0.9314,0.40582,1.97471,0.90081,1.91518,0.000949106,0.000949106,0.000949106
89,1440.26,1.2873,0.76231,1.36552,0.88528,0.87199,0.91816,0.39451,2.01466,0.88436,1.92111,0.000940855,0.000940855,0.000940855
90,1456.23,1.27217,0.74263,1.35846,0.88582,0.87066,0.91197,0.40669,2.02121,0.89178,1.94383,0.000932603,0.000932603,0.000932603
91,1472.21,1.2455,0.73191,1.35051,0.87008,0.85023,0.89134,0.38041,2.04789,0.9468,1.9435,0.000924352,0.000924352,0.000924352
92,1488.17,1.25519,0.76189,1.36304,0.88383,0.85183,0.89156,0.40505,2.01952,0.88942,1.95392,0.0009161,0.0009161,0.0009161
93,1504.16,1.25702,0.785,1.35965,0.85823,0.85878,0.87971,0.38549,2.05319,0.85999,1.97003,0.000907848,0.000907848,0.000907848
94,1520.2,1.28779,0.74108,1.3886,0.88495,0.875,0.8875,0.3828,2.04417,0.85205,1.96557,0.000899597,0.000899597,0.000899597
95,1536.23,1.27323,0.77969,1.36457,0.88177,0.86328,0.89364,0.37368,2.07832,0.92752,1.97602,0.000891345,0.000891345,0.000891345
96,1552.22,1.24607,0.74824,1.35165,0.89161,0.86127,0.91191,0.39963,1.96474,0.87323,1.94045,0.000883093,0.000883093,0.000883093
97,1568.19,1.23445,0.69911,1.34439,0.89218,0.89712,0.91344,0.38837,2.01619,0.85179,1.97069,0.000874842,0.000874842,0.000874842
98,1584.22,1.24598,0.755,1.36727,0.88489,0.90083,0.90384,0.38159,2.00656,0.86974,1.95848,0.00086659,0.00086659,0.00086659
99,1600.23,1.26543,0.79707,1.37719,0.8884,0.8457,0.88923,0.36806,2.02751,0.9057,1.97945,0.000858338,0.000858338,0.000858338
100,1616.2,1.2586,0.74929,1.35929,0.82487,0.89031,0.8903,0.37701,2.05952,0.85629,1.96333,0.000850087,0.000850087,0.000850087
101,1632.15,1.27777,0.74404,1.35777,0.86187,0.86039,0.8826,0.36941,2.07343,0.83844,2.0081,0.000841835,0.000841835,0.000841835
102,1648.14,1.21005,0.762,1.3216,0.90698,0.86822,0.89049,0.37569,2.03179,0.89381,1.9538,0.000833583,0.000833583,0.000833583
103,1664.17,1.21984,0.71469,1.33651,0.86731,0.8768,0.88034,0.38516,2.04417,0.87712,1.95026,0.000825332,0.000825332,0.000825332
